domain,oaire_result_type,works
pure.aber.ac.uk,publication,15
research.aston.ac.uk,publication,15
ricerca.sns.it,publication,15
www.helmholtz-berlin.de,publication,15
www.journal-of-hepatology.eu,publication,15
www.royalsocietypublishing.org,publication,15
www.strubi.ox.ac.uk,publication,15
www.thno.org,publication,15
www.wrh.ox.ac.uk,publication,15
aapm.onlinelibrary.wiley.com,publication,14
amsacta.unibo.it,publication,14
aperto.unito.it,publication,14
chemistry.pnas.org,publication,14
cris.fbk.eu,publication,14
datashare.is.ed.ac.uk,publication,14
epub.uni-bayreuth.de,publication,14
erj.ersjournals.com,publication,14
genomemedicine.biomedcentral.com,publication,14
indiana.pure.elsevier.com,publication,14
irep.ntu.ac.uk,publication,14
jair.org,publication,14
prosecco.gforge.inria.fr,publication,14
pub.epsilon.slu.se,publication,14
repositori.uji.es,publication,14
repository.up.ac.za,publication,14
repository.ust.hk,publication,14
repository.vu.lt,publication,14
scholars.cityu.edu.hk,publication,14
scholars.uthscsa.edu,publication,14
scitation.aip.org,publication,14
sin.put.poznan.pl,publication,14
stke.sciencemag.org,publication,14
www.isprs-ann-photogramm-remote-sens-spatial-inf-sci.net,publication,14
www.openchannels.org,publication,14
www.tropicalmedicine.ox.ac.uk,publication,14
arc.aiaa.org,publication,13
arca.igc.gulbenkian.pt,publication,13
cognet.mit.edu,publication,13
diabetes.diabetesjournals.org,publication,13
digitalcommons.andrews.edu,publication,13
digitalcommons.chapman.edu,publication,13
eprints.bournemouth.ac.uk,publication,13
eprints.usq.edu.au,publication,13
epubdev.wu.ac.at,publication,13
faseb.onlinelibrary.wiley.com,publication,13
hal-ujm.archives-ouvertes.fr,publication,13
iovs.arvojournals.org,publication,13
ir.nctu.edu.tw,publication,13
jeb.biologists.org,publication,13
jvi.asm.org,publication,13
microbiomejournal.biomedcentral.com,publication,13
opus.bath.ac.uk,publication,13
pubblicazioni.unicam.it,publication,13
publications.marum.de,publication,13
pureportal.spbu.ru,publication,13
researchrepository.murdoch.edu.au,publication,13
ssrn.com,publication,13
vital.lib.tsu.ru,publication,13
www.jacionline.org,publication,13
www.nist.gov,publication,13
www.oxfordhandbooks.com,publication,13
www.pdbus.org,publication,13
www.scielo.br,publication,13
www.storre.stir.ac.uk,publication,13
www.tdi.ox.ac.uk,publication,13
xplqa30.ieee.org,publication,13
amstat.tandfonline.com,publication,12
asmedigitalcollection.asme.org,publication,12
bmjopen.bmj.com,publication,12
cdn-pubs.acs.org,publication,12
ciencia.iscte-iul.pt,publication,12
circ.ahajournals.org,publication,12
circres.ahajournals.org,publication,12
data.brill.com,publication,12
documentserver.uhasselt.be,publication,12
doi.apa.org,publication,12
eprints.iisc.ac.in,publication,12
eprints.mdx.ac.uk,publication,12
eurekamag.com,publication,12
gateway.webofknowledge.com,publication,12
hal-ens-lyon.archives-ouvertes.fr,publication,12
hal-univ-bourgogne.archives-ouvertes.fr,publication,12
horizon.documentation.ird.fr,publication,12
hsbiblio.uni-tuebingen.de,publication,12
iom3.tandfonline.com,publication,12
irinsubria.uninsubria.it,publication,12
jitc.bmj.com,publication,12
jukuri.luke.fi,publication,12
katalog.ub.uni-heidelberg.de,publication,12
lbsresearch.london.edu,publication,12
lens.org,publication,12
lib.dr.iastate.edu,publication,12
lib.ugent.be,publication,12
mpra.ub.uni-muenchen.de,publication,12
publicatio.bibl.u-szeged.hu,publication,12
repositorio.uc.cl,publication,12
researchbank.rmit.edu.au,publication,12
researchoutput.csu.edu.au,publication,12
researchportal.unamur.be,publication,12
scholarworks.unist.ac.kr,publication,12
scholarworks.utrgv.edu,publication,12
www.earth-syst-sci-data-discuss.net,publication,12
www.earth-syst-sci-data.net,publication,12
www.emerald.com,publication,12
www.intlpress.com,publication,12
www.jbe-platform.com,publication,12
www.julkari.fi,publication,12
www.tse-fr.eu,publication,12
www.vldb.org,publication,12
aimsciences.org,publication,11
apps.dtic.mil,publication,11
arxiv-beta.library.cornell.edu,publication,11
avs.scitation.org,publication,11
bio-protocol.org,publication,11
bmcevolbiol.biomedcentral.com,publication,11
conbio.onlinelibrary.wiley.com,publication,11
dmm.biologists.org,publication,11
ejpr.onlinelibrary.wiley.com,publication,11
hal.cirad.fr,publication,11
hess.copernicus.org,publication,11
ir.ynao.ac.cn,publication,11
link-springer-com-443.webvpn.jmu.edu.cn,publication,11
open.bu.edu,publication,11
parasitesandvectors.biomedcentral.com,publication,11
porto.polito.it,publication,11
publications.imp.fu-berlin.de,publication,11
pure.itu.dk,publication,11
pure.unileoben.ac.at,publication,11
raiith.iith.ac.in,publication,11
repository.rothamsted.ac.uk,publication,11
repozitorij.ung.si,publication,11
researchdirect.westernsydney.edu.au,publication,11
researchexperts.utmb.edu,publication,11
rsta.royalsocietypublishing.org,publication,11
scholar.harvard.edu,publication,11
uknowledge.uky.edu,publication,11
vtechworks.lib.vt.edu,publication,11
www.ann-geophys.net,publication,11
www.cogitatiopress.com,publication,11
www.cs.ox.ac.uk,publication,11
www.cv-foundation.org,publication,11
www.differ.nl,publication,11
www.elsevier.com,publication,11
www.expmedndm.ox.ac.uk,publication,11
www.library.nuigalway.ie,publication,11
www.mcponline.org,publication,11
www.opticsjournal.net,publication,11
www.sciencemag.org,publication,11
aclweb.org,publication,10
archive.lstmed.ac.uk,publication,10
bmcpublichealth.biomedcentral.com,publication,10
data.bmj.org,publication,10
dspace.ewha.ac.kr,publication,10
edoc.hu-berlin.de,publication,10
engine.scichina.com,publication,10
epja.epj.org,publication,10
forsyte.at,publication,10
hdl.handle.net,dataset,10
impulse.mlz-garching.de,publication,10
lume.ufrgs.br,publication,10
nyaspubs.onlinelibrary.wiley.com,publication,10
oapen.org,publication,10
obgyn.onlinelibrary.wiley.com,publication,10
proceedings.spiedigitallibrary.org,publication,10
pure.uvt.nl,publication,10
repositorium.uni-muenster.de,publication,10
repository.library.noaa.gov,publication,10
ricerca.uniba.it,publication,10
rsif.royalsocietypublishing.org,publication,10
sage.figshare.com,publication,10
scholarsmine.mst.edu,publication,10
symposium.cshlp.org,publication,10
trap.ncirl.ie,publication,10
trid.trb.org,publication,10
vision.in.tum.de,publication,10
www.aaai.org,publication,10
www.bmj.com,publication,10
www.combinatorics.org,publication,10
www.earthdoc.org,publication,10
www.eprints.ncl.ac.uk,publication,10
www.esaim-cocv.org,publication,10
www.fasebj.org,publication,10
www.hydrol-earth-syst-sci.net,publication,10
www.intechopen.com,publication,10
www.jidonline.org,publication,10
www.ludwig.ox.ac.uk,publication,10
www.onlinejacc.org,publication,10
xfel.tind.io,publication,10
acuresearchbank.acu.edu.au,publication,9
alizon.ouvaton.org,publication,9
annals.math.princeton.edu,publication,9
avesis.ege.edu.tr,publication,9
bpspubs.onlinelibrary.wiley.com,publication,9
cancerdiscovery.aacrjournals.org,publication,9
cancerimmunolres.aacrjournals.org,publication,9
cep.lse.ac.uk,publication,9
clinicalepigeneticsjournal.biomedcentral.com,publication,9
commons.erau.edu,publication,9
dadun.unav.edu,publication,9
digibuo.uniovi.es,publication,9
digitalcommons.unl.edu,publication,9
diglib.uibk.ac.at,publication,9
esd.copernicus.org,publication,9
eurekamag.org,publication,9
forskning.ruc.dk,publication,9
gvv.mpi-inf.mpg.de,publication,9
haematologica.org,publication,9
jem.rupress.org,publication,9
malariajournal.biomedcentral.com,publication,9
mouseion.jax.org,publication,9
nhess.copernicus.org,publication,9
nora.nerc.ac.uk,publication,9
pr.ibs.re.kr,publication,9
pubs.rsna.org,publication,9
pureportal.inbo.be,publication,9
read.dukeupress.edu,publication,9
repository.urosario.edu.co,publication,9
risweb.st-andrews.ac.uk,publication,9
rmdopen.bmj.com,publication,9
rspa.royalsocietypublishing.org,publication,9
scholarship.rice.edu,publication,9
se.copernicus.org,publication,9
shura.shu.ac.uk,publication,9
srcd.onlinelibrary.wiley.com,publication,9
tosc.iacr.org,publication,9
vinar.vin.bg.ac.rs,publication,9
www.aging-us.com,publication,9
www.aimspress.com,publication,9
www.clp.ac.cn,publication,9
www.esaim-m2an.org,publication,9
www.esg.ac.uk,publication,9
www.geochemicalperspectivesletters.org,publication,9
www.jlis.it,publication,9
www.medecinesciences.org,publication,9
www.ndsl.kr,publication,9
www.nejm.org,publication,9
www.oarsijournal.com,publication,9
www.researchwithrutgers.com,publication,9
www.spiral.imperial.ac.uk,publication,9
actaneurocomms.biomedcentral.com,publication,8
aisberg.unibg.it,publication,8
bigwww.epfl.ch,publication,8
cel.archives-ouvertes.fr,publication,8
darchive.mblwhoilibrary.org,publication,8
dataverse.nl,publication,8
digitalcommons.psjhealth.org,publication,8
dspace.library.uvic.ca,publication,8
ejnmmiphys.springeropen.com,publication,8
epjb.epj.org,publication,8
epubs.rcsi.ie,publication,8
experts.nebraska.edu,publication,8
gupea.ub.gu.se,publication,8
hal-iogs.archives-ouvertes.fr,publication,8
hal-unilim.archives-ouvertes.fr,publication,8
hal.univ-angers.fr,publication,8
jaha.ahajournals.org,publication,8
jasn.asnjournals.org,publication,8
jep.centre-mersenne.org,publication,8
jneuroengrehab.biomedcentral.com,publication,8
joss.theoj.org,publication,8
journal.hep.com.cn,publication,8
journals.cambridge.org,publication,8
ljones.eng.cam.ac.uk,publication,8
nilu.brage.unit.no,publication,8
oist.repo.nii.ac.jp,publication,8
open.library.ubc.ca,publication,8
openarchive.ki.se,publication,8
openportal.isti.cnr.it,publication,8
os.copernicus.org,publication,8
publications.hzg.de,publication,8
radar.brookes.ac.uk,publication,8
repositorio.conicyt.cl,publication,8
research.cbs.dk,publication,8
research.itg.be,publication,8
researchbank.acu.edu.au,publication,8
researchnow.flinders.edu.au,publication,8
rke.abertay.ac.uk,publication,8
robotics.sciencemag.org,publication,8
snucm.elsevierpure.com,publication,8
transacl.org,publication,8
tus.elsevierpure.com,publication,8
uscholar.univie.ac.at,publication,8
wcd.copernicus.org,publication,8
westminsterresearch.westminster.ac.uk,publication,8
www.ann-geophys-discuss.net,publication,8
www.arca.fiocruz.br,publication,8
www.ctsu.ox.ac.uk,publication,8
www.dovepress.com,publication,8
www.eas-journal.org,publication,8
www.elgaronline.com,publication,8
www.escholar.manchester.ac.uk,publication,8
www.espeyearbook.org,publication,8
www.hydrol-earth-syst-sci-discuss.net,publication,8
www.ijidonline.com,publication,8
www.laneas.com,publication,8
www.molbiolcell.org,publication,8
www.nat-hazards-earth-syst-sci.net,publication,8
www.neurology.org,publication,8
www.scienceopen.com,publication,8
www.srs.fs.usda.gov,publication,8
www.um.edu.mt,publication,8
yadda.icm.edu.pl,publication,8
0-bmcgenomics-biomedcentral-com.brum.beds.ac.uk,publication,7
0-genomemedicine-biomedcentral-com.brum.beds.ac.uk,publication,7
acamh.onlinelibrary.wiley.com,publication,7
aclanthology.coli.uni-saarland.de,publication,7
agliotilab.org,publication,7
aiche.onlinelibrary.wiley.com,publication,7
archivesic.ccsd.cnrs.fr,publication,7
bioinformatics.oxfordjournals.org,publication,7
biotechnologyforbiofuels.biomedcentral.com,publication,7
bsapubs.onlinelibrary.wiley.com,publication,7
cshperspectives.cshlp.org,publication,7
currentprotocols.onlinelibrary.wiley.com,publication,7
datacompass.lshtm.ac.uk,publication,7
digitalcommons.usu.edu,publication,7
ebooks.cambridge.org,publication,7
ecommons.aku.edu,publication,7
elpub.bib.uni-wuppertal.de,publication,7
epigeneticsandchromatin.biomedcentral.com,publication,7
epjd.epj.org,publication,7
er.ceres.rub.de,publication,7
eurekamag.net,publication,7
eurekaselect.com,publication,7
files.eccomasproceedia.org,publication,7
g3journal.org,publication,7
gala.gre.ac.uk,publication,7
hal-sde.archives-ouvertes.fr,publication,7
hal-univ-pau.archives-ouvertes.fr,publication,7
hal-univ-perp.archives-ouvertes.fr,publication,7
hal-univ-tlse2.archives-ouvertes.fr,publication,7
hal.insa-toulouse.fr,publication,7
hal.univ-brest.fr,publication,7
hrcak.srce.hr,publication,7
journal.caa-international.org,publication,7
journal.fi,publication,7
journals.linguisticsociety.org,publication,7
kobra.uni-kassel.de,publication,7
lib-arxiv-008.serverfarm.cornell.edu,publication,7
macau.uni-kiel.de,publication,7
madoc.bib.uni-mannheim.de,publication,7
medanthrotheory.org,publication,7
nar.oxfordjournals.org,publication,7
nature.webvpn.ustc.edu.cn,publication,7
nebraska.pure.elsevier.com,publication,7
oasis.postech.ac.kr,publication,7
okayama.pure.elsevier.com,publication,7
openaccess.iyte.edu.tr,publication,7
portalrecerca.uab.cat,publication,7
publikationen.bibliothek.kit.edu,dataset,7
publikationsserver.tu-braunschweig.de,publication,7
pubs.er.usgs.gov,publication,7
pure.ulster.ac.uk,publication,7
pure.unamur.be,publication,7
research-portal.uws.ac.uk,publication,7
research.iusspavia.it,publication,7
researchprofiles.canberra.edu.au,publication,7
rodin.uca.es,publication,7
sas-space.sas.ac.uk,publication,7
scholar.lib.ntnu.edu.tw,publication,7
scholarworks.wm.edu,publication,7
scirate.com,publication,7
tches.iacr.org,publication,7
tspace.library.utoronto.ca,publication,7
tubaf.qucosa.de,publication,7
tvst.arvojournals.org,publication,7
usir.salford.ac.uk,publication,7
www.be-md.ncbi.nlm.nih.gov,publication,7
www.bjutijdschriften.nl,publication,7
www.bmva.org,publication,7
www.crcnetbase.com,publication,7
www.drugsandalcohol.ie,publication,7
www.earth-syst-dynam-discuss.net,publication,7
www.earth-syst-dynam.net,publication,7
www.easychair.org,publication,7
www.emeraldinsight.com,publication,7
www.fdr.uni-hamburg.de,publication,7
www.g3journal.org,publication,7
www.glossa-journal.org,publication,7
www.journalofcognition.org,publication,7
www.jstor.org,publication,7
www.lib.kobe-u.ac.jp,publication,7
www.math.sissa.it,publication,7
www.nat-hazards-earth-syst-sci-discuss.net,publication,7
www.ocula.it,publication,7
www.paediatrics.ox.ac.uk,publication,7
www.palgrave.nature.com,publication,7
www.pdcnet.org,publication,7
www.researchcollection.ethz.ch,publication,7
www.rsc.org,publication,7
www.sei.org,publication,7
www.solid-earth-discuss.net,publication,7
www.solid-earth.net,publication,7
0-bmcbioinformatics-biomedcentral-com.brum.beds.ac.uk,publication,6
0-genomebiology-biomedcentral-com.brum.beds.ac.uk,publication,6
194.66.89.8,publication,6
aap.tandfonline.com,publication,6
ai.google,publication,6
akjournals.com,publication,6
architexturez.net,publication,6
archive.researchdata.leeds.ac.uk,publication,6
asbmr.onlinelibrary.wiley.com,publication,6
ascopubs.org,publication,6
asistdl.onlinelibrary.wiley.com,publication,6
avesis.istanbul.edu.tr,publication,6
avesis.metu.edu.tr,publication,6
biologydirect.biomedcentral.com,publication,6
bmcpsychiatry.biomedcentral.com,publication,6
brage.nina.no,publication,6
cadair.aber.ac.uk,publication,6
ccforum.biomedcentral.com,publication,6
cdr.lib.unc.edu,publication,6
ceramics.onlinelibrary.wiley.com,publication,6
crick.figshare.com,publication,6
dergipark.org.tr,publication,6
doclib.uhasselt.be,publication,6
downloads.spj.sciencemag.org,publication,6
dspace.ankara.edu.tr,publication,6
eciencia.urjc.es,publication,6
epje.epj.org,publication,6
epjst.epj.org,publication,6
es.jamanetwork.com,publication,6
eurradiolexp.springeropen.com,publication,6
evodevojournal.biomedcentral.com,publication,6
ftp.iza.org,publication,6
hal-clermont-univ.archives-ouvertes.fr,publication,6
hal-ensta-paris.archives-ouvertes.fr,publication,6
hal-mines-paristech.archives-ouvertes.fr,publication,6
hal-univ-paris10.archives-ouvertes.fr,publication,6
hal-univ-tlse3-archives-ouvertes-fr.ezproxy.u-pec.fr,publication,6
heart.bmj.com,publication,6
hesso.tind.io,publication,6
hgpu.org,publication,6
hraf.yale.edu,publication,6
iris.poliba.it,publication,6
jeannicod.ccsd.cnrs.fr,publication,6
jitc.biomedcentral.com,publication,6
jneuroinflammation.biomedcentral.com,publication,6
jnm.snmjournals.org,publication,6
journals.library.ualberta.ca,publication,6
journals.uair.arizona.edu,publication,6
mct.aacrjournals.org,publication,6
mdsoar.org,publication,6
media.suub.uni-bremen.de,publication,6
metcorner.gastro.org,publication,6
mobilednajournal.biomedcentral.com,publication,6
morphium.info,publication,6
openrepository.ru,publication,6
ora.ouls.ox.ac.uk,publication,6
orfeo.kbr.be,publication,6
oxfordre.com,publication,6
portal.sahmriresearch.org,publication,6
pure.sruc.ac.uk,publication,6
qfrd.pure.elsevier.com,publication,6
repository.exst.jaxa.jp,publication,6
repository.nwu.ac.za,publication,6
repository.uwc.ac.za,publication,6
repository.uwl.ac.uk,publication,6
resolver.caltech.edu,publication,6
revije.ff.uni-lj.si,publication,6
ruc.udc.es,publication,6
scholar.nctu.edu.tw,publication,6
science.urfu.ru,publication,6
spj.sciencemag.org,publication,6
uab.elsevierpure.com,publication,6
www.alexandria.unisg.ch,publication,6
www.collabra.org,publication,6
www.doi.org,publication,6
www.elevenjournals.com,publication,6
www.eurekaselect.com,publication,6
www.fstar-lang.org,publication,6
www.impan.pl,publication,6
www.jstage.jst.go.jp,publication,6
www.kireports.org,publication,6
www.ndss-symposium.org,publication,6
www.ocean-sci.net,publication,6
www.pharm.ox.ac.uk,publication,6
www.springerlink.com,publication,6
www.theoj.org,publication,6
www.theses.fr,publication,6
www.theseus.fi,publication,6
www.ucl.ac.uk,publication,6
zh.jamanetwork.com,publication,6
0-bmcmedicine-biomedcentral-com.brum.beds.ac.uk,publication,5
academicworks.cuny.edu,publication,5
ahro.austin.org.au,publication,5
aif.centre-mersenne.org,publication,5
ajp.psychiatryonline.org,publication,5
akademiai.com,publication,5
alzheimersanddementiajournal.net,publication,5
alzheimersanddementiajournal.org,publication,5
amolf.artudis.com,publication,5
apo.org.au,publication,5
archiv.ub.uni-heidelberg.de,publication,5
arro.anglia.ac.uk,publication,5
arrow.tudublin.ie,publication,5
bia.unibz.it,publication,5
bioone.org,publication,5
bmccancer.biomedcentral.com,publication,5
books.openedition.org,publication,5
circgenetics.ahajournals.org,publication,5
confluenze.unibo.it,publication,5
covid19-evidence.paho.org,publication,5
dergipark.gov.tr,publication,5
digitalcollections.anu.edu.au,publication,5
digitalcommons.odu.edu,publication,5
documents.worldbank.org,publication,5
doi.emh.ch,publication,5
doi.ieeecomputersociety.org,publication,5
eces.revues.org,publication,5
edoc.rki.de,publication,5
edoc.ub.uni-muenchen.de,publication,5
edutice.archives-ouvertes.fr,publication,5
elar.urfu.ru,publication,5
elr.tijdschriften.budh.nl,publication,5
epjwoc.epj.org,publication,5
epub.oeaw.ac.at,publication,5
essays.biochemistry.org,publication,5
esurf.copernicus.org,publication,5
ethos.bl.uk,publication,5
eureka.sbs.ox.ac.uk,publication,5
guoa.ub.gu.se,publication,5
hal-cyu.archives-ouvertes.fr,publication,5
hal-descartes.archives-ouvertes.fr,publication,5
hal-univ-paris.archives-ouvertes.fr,publication,5
hal.telecom-paristech.fr,publication,5
hal.univ-antilles.fr,publication,5
handtracker.mpi-inf.mpg.de,publication,5
idei.fr,publication,5
idl-bnc-idrc.dspacedirect.org,publication,5
ir.library.carleton.ca,publication,5
ir.psych.ac.cn,publication,5
irep.iium.edu.my,publication,5
journals.ed.ac.uk,publication,5
lnu.diva-portal.org,publication,5
ltu.diva-portal.org,publication,5
mbe.oxfordjournals.org,publication,5
microbialcell.com,publication,5
mr.copernicus.org,publication,5
nhm.openrepository.com,publication,5
nordopen.nord.no,publication,5
nur.nu.edu.kz,publication,5
online.liebertpub.com,publication,5
openresearch.lsbu.ac.uk,publication,5
openreview.net,publication,5
patents.google.com,publication,5
pbn.nauka.gov.pl,publication,5
people.mpi-inf.mpg.de,publication,5
prints.iiap.res.in,publication,5
publications.csiro.au,publication,5
rai.onlinelibrary.wiley.com,publication,5
repositorio.ipl.pt,publication,5
repositorio.usp.br,publication,5
repository.helmholtz-hzi.de,publication,5
repository.iitgn.ac.in,publication,5
repository.rcsi.com,publication,5
research.gold.ac.uk,publication,5
research.sabanciuniv.edu,publication,5
revistaseletronicas.pucrs.br,publication,5
rio.upo.es,publication,5
ro.ecu.edu.au,publication,5
rsob.royalsocietypublishing.org,publication,5
scholar.sun.ac.za,publication,5
scholarcommons.usf.edu,publication,5
scholarship.haverford.edu,publication,5
scholarworks.boisestate.edu,publication,5
services.phaidra.univie.ac.at,publication,5
shibaura.pure.elsevier.com,publication,5
smw.ch,publication,5
stemcellres.biomedcentral.com,publication,5
sure.sunderland.ac.uk,publication,5
test.europepmc.org,publication,5
utpjournals.press,publication,5
uvadoc.uva.es,publication,5
weblib.cern.ch,publication,5
www.actaphys.uj.edu.pl,publication,5
www.agliotilab.org,publication,5
www.annalsofoncology.org,publication,5
www.atsjournals.org,publication,5
www.bcamath.org,publication,5
www.bloodadvances.org,publication,5
www.cinc.org,publication,5
www.dora.dmu.ac.uk,publication,5
www.ecologyandsociety.org,publication,5
www.econometricsociety.org,publication,5
www.erasmuslawreview.nl,publication,5
www.esaim-proc.org,publication,5
www.euppublishing.com,publication,5
www.freepatentsonline.com,publication,5
www.heartrhythmjournal.com,publication,5
www.investigo.biblioteca.uvigo.es,publication,5
www.iris.unict.it,publication,5
www.kidney-international.org,publication,5
www.lcqb.upmc.fr,publication,5
www.onepetro.org,publication,5
www.projecteuclid.org,publication,5
www.religion.ranepa.ru,publication,5
www.rsc.ox.ac.uk,publication,5
www.rti.org,publication,5
www.rxiv.org,publication,5
0-bmcbiol-biomedcentral-com.brum.beds.ac.uk,publication,4
academic.hep.com.cn,publication,4
academica-e.unavarra.es,publication,4
accedacris.ulpgc.es,publication,4
acsess.onlinelibrary.wiley.com,publication,4
afst.centre-mersenne.org,publication,4
ajp.amjpathol.org,publication,4
al-qantara.revistas.csic.es,publication,4
apsjournals.apsnet.org,publication,4
augusta.pure.elsevier.com,publication,4
bjsm.bmj.com,publication,4
bmcresnotes.biomedcentral.com,publication,4
bodoarxiv.org,publication,4
booksandjournals.brillonline.com,publication,4
bpspsychub.onlinelibrary.wiley.com,publication,4
civilwars.eu,publication,4
cn.bio-protocol.org,publication,4
cyberleninka.ru,publication,4
d-scholarship.pitt.edu,publication,4
d2ufo47lrtsv5s.cloudfront.net,publication,4
data.bris.ac.uk,publication,4
dea.lib.unideb.hu,publication,4
deepblue.lib.umich.edu,publication,4
digital.library.unt.edu,publication,4
dirros.openscience.si,publication,4
dl.sciencesocieties.org,publication,4
documents.cern.ch,publication,4
doi.pangaea.de,publication,4
dom-pubs.onlinelibrary.wiley.com,publication,4
dspace.itg.be,publication,4
dspace3.hulib.helsinki.fi,publication,4
earth-planets-space.springeropen.com,publication,4
eccc.weizmann.ac.il,publication,4
econ-papers.upf.edu,publication,4
econweb.umd.edu,publication,4
ehp.niehs.nih.gov,publication,4
elib.uni-stuttgart.de,publication,4
elibrary.worldbank.org,publication,4
embargoed.www.cell.com,publication,4
epjplus.epj.org,publication,4
eprints.iisc.ernet.in,publication,4
eprints.kingston.ac.uk,publication,4
epublications.marquette.edu,publication,4
eresearch.ozyegin.edu.tr,publication,4
esmoopen.bmj.com,publication,4
expeditiorepositorio.utadeo.edu.co,publication,4
fluidsbarrierscns.biomedcentral.com,publication,4
genesandnutrition.biomedcentral.com,publication,4
genomebiology.com,publication,4
gh.bmj.com,publication,4
hal-inalco.archives-ouvertes.fr,publication,4
hal-laas.archives-ouvertes.fr,publication,4
hal-lara.archives-ouvertes.fr,publication,4
hal-utt.archives-ouvertes.fr,publication,4
hal.univ-reunion.fr,publication,4
hal.uvsq.fr,publication,4
hanyang.elsevierpure.com,publication,4
homepages.inf.ed.ac.uk,publication,4
ijs.microbiologyresearch.org,publication,4
ir.lzu.edu.cn,publication,4
ir.semi.ac.cn,publication,4
ir.vanderbilt.edu,publication,4
ira.lib.polyu.edu.hk,publication,4
iris.unibas.it,publication,4
iu.tind.io,publication,4
jasss.soc.surrey.ac.uk,publication,4
jech.bmj.com,publication,4
jme.bmj.com,publication,4
jmg.bmj.com,publication,4
jn.physiology.org,publication,4
jnanobiotechnology.biomedcentral.com,publication,4
jnnp.bmj.com,publication,4
ktisis.cut.ac.cy,publication,4
mcb.asm.org,publication,4
mcr.aacrjournals.org,publication,4
media.nature.com,publication,4
meetings.aps.org,publication,4
mgen.microbiologyresearch.org,publication,4
microbialcellfactories.biomedcentral.com,publication,4
msphere.asm.org,publication,4
muep.mau.se,publication,4
mymedr.afpm.org.my,publication,4
nsuworks.nova.edu,publication,4
oar.a-star.edu.sg,publication,4
opengeospatialdata.springeropen.com,publication,4
openknowledge.worldbank.org,publication,4
page.mi.fu-berlin.de,publication,4
pdxscholar.library.pdx.edu,publication,4
personal.lse.ac.uk,publication,4
perspectivesinmedicine.cshlp.org,publication,4
philsci-archive-dev.library.pitt.edu,publication,4
plantmethods.biomedcentral.com,publication,4
policyreview.info,publication,4
portal.acm.org,publication,4
pp2.philpapers.org,publication,4
publications.icr.ac.uk,publication,4
pure.fujita-hu.ac.jp,publication,4
pure.kb.dk,publication,4
pure.urosario.edu.co,publication,4
recercat.cat,publication,4
repositorio.iscte-iul.pt,publication,4
repositorio.unab.cl,publication,4
repositorioinstitucional.ceu.es,publication,4
repository.hku.hk,publication,4
repository.nms.ac.uk,publication,4
research.brighton.ac.uk,publication,4
research.nsu.ru,publication,4
research.nu.edu.kz,publication,4
research.tees.ac.uk,publication,4
researchdata.cab.unipd.it,dataset,4
riviste.unimi.it,publication,4
rsfs.royalsocietypublishing.org,publication,4
scholar.colorado.edu,publication,4
scholarworks.umass.edu,publication,4
stacks.cdc.gov,publication,4
translational-medicine.biomedcentral.com,publication,4
ufal.mff.cuni.cz,publication,4
users.comnet.aalto.fi,publication,4
uwe-repository.worktribe.com,publication,4
vixra.org,publication,4
works.swarthmore.edu,publication,4
www-wds.worldbank.org,publication,4
www.aes.org,publication,4
www.akademiai.com,publication,4
www.bis.org,publication,4
www.cancerdata.org,publication,4
www.cerge-ei.cz,publication,4
www.cesifo-group.de,publication,4
www.diametros.iphils.uj.edu.pl,publication,4
www.download.thelancet.com,publication,4
www.dspace.up.ac.za,publication,4
www.e-publicacoes.uerj.br,publication,4
www.earth-prints.org,publication,4
www.earthobservatory.sg,publication,4
www.ebiomedicine.com,publication,4
www.eccomasproceedia.org,publication,4
www.emis.de,publication,4
www.etoponline.org,publication,4
www.exphem.org,publication,4
www.federalreserve.gov,publication,4
www.fs.fed.us,publication,4
www.future-science.com,publication,4
www.icmat.es,publication,4
www.ict-energy.eu,publication,4
www.ijdb.ehu.es,publication,4
www.int-res.com,publication,4
www.irgrid.ac.cn,publication,4
www.jasn.org,publication,4
www.journal.csj.jp,publication,4
www.marinespecies.org,publication,4
www.medawar.ox.ac.uk,publication,4
www.medra.org,publication,4
www.mis.mpg.de,publication,4
www.molevol.hhu.de,publication,4
www.nowpublishers.com,publication,4
www.omicsdi.org,dataset,4
www.opic.ox.ac.uk,publication,4
www.optimization-online.org,publication,4
www.persee.fr,publication,4
www.phc.ox.ac.uk,publication,4
www.publish.csiro.au,publication,4
www.raco.cat,publication,4
www.repository.cam.ac.uk,dataset,4
www.rmoa.unina.it,publication,4
www.routledgehandbooks.com,publication,4
www.scielo.mec.pt,publication,4
www.seizure-journal.com,publication,4
www.sv.uio.no,publication,4
www.thegreenjournal.com,publication,4
www.transacl.org,publication,4
www.tropmedres.ac,publication,4
wwwnc.cdc.gov,publication,4
206.189.126.38,publication,3
aac.asm.org,publication,3
ajph.aphapublications.org,publication,3
alzheimersanddementiajournal.com,publication,3
anatomypubs.onlinelibrary.wiley.com,publication,3
archneur.jamanetwork.com,publication,3
archpsyc.jamanetwork.com,publication,3
ascpt.onlinelibrary.wiley.com,publication,3
astro.theoj.org,publication,3
atm.amegroups.com,publication,3
bio.biologists.org,publication,3
biosignaling.biomedcentral.com,publication,3
bmchealthservres.biomedcentral.com,publication,3
bmcinfectdis.biomedcentral.com,publication,3
bmcneurosci.biomedcentral.com,publication,3
care.diabetesjournals.org,publication,3
cdn.intechopen.com,publication,3
cod.ibt.lt,publication,3
