domain,oaire_result_type,works
dspace.library.uu.nl,publication,672
ideas.repec.org,publication,668
aip.scitation.org,publication,647
research.vu.nl,publication,631
epub.ub.uni-muenchen.de,publication,618
research-information.bris.ac.uk,publication,605
dx.plos.org,publication,587
cds.cern.ch,publication,562
bib-pubdb1.desy.de,publication,559
researchportal.helsinki.fi,publication,557
lup.lub.lu.se,publication,555
authors.library.caltech.edu,publication,550
dare.uva.nl,publication,550
www.cambridge.org,publication,549
aaltodoc.aalto.fi,publication,543
escholarship.org,publication,543
jglobal.jst.go.jp,publication,541
eprints.gla.ac.uk,publication,523
figshare.com,publication,523
journals.plos.org,publication,517
pure.au.dk,publication,511
dialnet.unirioja.es,publication,510
eprints.soton.ac.uk,publication,502
journals.sagepub.com,publication,484
spiral.imperial.ac.uk,publication,482
wrap.warwick.ac.uk,publication,473
repub.eur.nl,publication,465
xlink.rsc.org,publication,463
www.pnas.org,publication,460
research.tue.nl,publication,458
dro.dur.ac.uk,publication,453
helda.helsinki.fi,publication,447
orca.cf.ac.uk,publication,441
repository.tudelft.nl,publication,441
juuli.fi,publication,428
chemistry-europe.onlinelibrary.wiley.com,publication,423
orbit.dtu.dk,publication,419
agupubs.onlinelibrary.wiley.com,publication,406
hal.sorbonne-universite.fr,publication,376
pure.uva.nl,publication,370
publikationen.bibliothek.kit.edu,publication,368
www.arxiv.org,publication,365
cdn.elifesciences.org,publication,363
science.sciencemag.org,publication,359
figshare.com,dataset,355
pesquisa.bvsalud.org,publication,354
urn.fi,publication,354
publications.rwth-aachen.de,publication,353
research.aalto.fi,publication,346
elifesciences.org,publication,343
research.chalmers.se,publication,339
mediatum.ub.tum.de,publication,326
zenodo.org,dataset,324
royalsocietypublishing.org,publication,322
cris.maastrichtuniversity.nl,publication,315
ore.exeter.ac.uk,publication,314
kclpure.kcl.ac.uk,publication,313
128.84.21.199,publication,308
portal.research.lu.se,publication,307
research-repository.st-andrews.ac.uk,publication,307
sro.sussex.ac.uk,publication,301
econpapers.repec.org,publication,298
juser.fz-juelich.de,publication,298
orbi.uliege.be,publication,293
boris.unibe.ch,publication,290
ddd.uab.cat,publication,287
research.birmingham.ac.uk,publication,282
espace.library.uq.edu.au,publication,279
library.wur.nl,publication,277
pure.manchester.ac.uk,publication,277
www.duo.uio.no,publication,277
acs.figshare.com,publication,276
advances.sciencemag.org,publication,275
research.utwente.nl,publication,273
www.rcsb.org,publication,273
researchonline.ljmu.ac.uk,publication,272
papers.ssrn.com,publication,271
boa.unimib.it,publication,266
research.monash.edu,publication,258
upcommons.upc.edu,publication,254
pure.amc.nl,publication,251
www.aclweb.org,publication,249
re.public.polimi.it,publication,243
hal-insu.archives-ouvertes.fr,publication,240
orbilu.uni.lu,publication,232
osf.io,publication,231
livrepository.liverpool.ac.uk,publication,224
air.unimi.it,publication,219
difusion.ulb.ac.be,publication,218
philpapers.org,publication,216
qmro.qmul.ac.uk,publication,213
epubs.siam.org,publication,211
pure.knaw.nl,publication,210
archive-ouverte.unige.ch,publication,208
www.degruyter.com,publication,204
researchers.mq.edu.au,publication,198
repositori.upf.edu,publication,196
research.vumc.nl,publication,195
www.embopress.org,publication,194
doi.acm.org,publication,192
eprints.ucm.es,publication,192
findanexpert.unimelb.edu.au,publication,190
hal-cea.archives-ouvertes.fr,publication,190
experts.umn.edu,publication,189
eprint.ncl.ac.uk,publication,186
researchportal.port.ac.uk,publication,186
www.spiedigitallibrary.org,publication,185
journal.frontiersin.org,publication,181
jyx.jyu.fi,publication,181
research-explorer.app.ist.ac.at,publication,181
uu.diva-portal.org,publication,181
research.tudelft.nl,publication,180
serval.unil.ch,publication,180
noa.gwlb.de,publication,174
vbn.aau.dk,publication,174
nottingham-repository.worktribe.com,publication,172
eprints.lancs.ac.uk,publication,171
www.mendeley.com,publication,171
pure.qub.ac.uk,publication,170
www.escholarship.org,publication,170
pubmed.cn,publication,168
acp.copernicus.org,publication,166
backend.orbit.dtu.dk,publication,165
ndownloader.figshare.com,publication,165
elib.dlr.de,publication,164
hal-amu.archives-ouvertes.fr,publication,164
research-repository.uwa.edu.au,publication,162
doi.wiley.com,publication,161
edoc.mdc-berlin.de,publication,160
www.dora.lib4ri.ch,publication,160
publica.fraunhofer.de,publication,159
repository.arizona.edu,publication,159
findresearcher.sdu.dk,publication,158
researchportal.bath.ac.uk,publication,157
iris.polito.it,publication,156
cris.unibo.it,publication,155
nature.com,publication,154
graz.pure.elsevier.com,publication,153
adsabs.harvard.edu,publication,151
www.neuroscience.ox.ac.uk,publication,151
nyuscholars.nyu.edu,publication,148
zaguan.unizar.es,publication,148
ruj.uj.edu.pl,publication,147
edoc.unibas.ch,publication,146
projecteuclid.org,publication,145
hungary.pure.elsevier.com,publication,143
moh-it.pure.elsevier.com,publication,143
openaccess.thecvf.com,publication,141
pdfs.semanticscholar.org,publication,141
ueaeprints.uea.ac.uk,publication,140
www.scholars.northwestern.edu,publication,138
eprints.nottingham.ac.uk,publication,137
www.atmos-chem-phys-discuss.net,publication,137
hal-pasteur.archives-ouvertes.fr,publication,136
real.mtak.hu,publication,135
diposit.ub.edu,publication,134
experts.illinois.edu,publication,134
openresearch-repository.anu.edu.au,publication,134
doc.rero.ch,publication,132
halshs.archives-ouvertes.fr,publication,132
pubman.mpdl.mpg.de,publication,131
hal.inrae.fr,publication,129
portal.findresearcher.sdu.dk,publication,129
