Repository name,Organisation name,URL,content_type,Short name,Coverage,ERC panels,Content type,Access to repository,Access to data upload,Certification,Date of last certification,Source (URL),Community Endorsement,Source of Community Endorsement,Community URL,Policy,Policy URL,"Metadata contains ""access rights""","Metadata contains ""License""",PID Assignment,Machine-actionable,Standardized,Linked resources,CC0 or PD or equivalent Metadata,Author(s),Description,Title,Date of publication,Venue of publication/deposit,Embargo,Funder and Funding Stream,Grant information,Record PID,Author(s) PID,Organisation PID,Grant PID,Curator,Reason for inclusion,comments
Radboud Repository,Radboud University Nijmegen,https://repository.ubn.ru.nl,,NA,Institutional,LS01|LS02|LS03|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH03|SH04|SH05,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/1236,NA
Zurich Open Repository and Archive,Universität Zürich,http://www.zora.uzh.ch/,,NA,Institutional,LS01|LS02|LS03|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH03|SH04|SH05|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,http://www.hbz.uzh.ch/de/open-access-und-open-science/zora/zora-policy.html,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/885,NA
Universiteit van Amsterdam Digital Academic Repository,Universiteit van Amsterdam,http://dare.uva.nl/,,NA,Institutional,LS01|LS02|LS03|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH03|SH04|SH05|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/323,NA
The University of Manchester - Institutional Repository,University of Manchester,https://www.research.manchester.ac.uk/portal,,NA,Institutional,LS01|LS02|LS03|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH03|SH04|SH05|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/3818,NA
HELDA - Digital Repository of the University of Helsinki,University of Helsinki,https://helda.helsinki.fi,,NA,Institutional,LS01|LS02|LS03|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH03|SH04|SH05|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/1593,NA
HAL-CEA,Commissariat à l’énergie atomique et aux énergies alternatives,https://hal-cea.archives-ouvertes.fr/,,NA,Institutional,LS01|LS03|LS04|LS05|LS06|LS07|LS08|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH02|SH04,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/3515,NA
HAL - UPEC / UPEM,Université Paris-Est Marne-la-Vallée,https://hal-upec-upem.archives-ouvertes.fr/,,NA,Institutional,LS02|LS03|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH04|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/4325,NA
Archivio istituzionale della ricerca - Alma Mater Studiorum Università di Bologna,Alma Mater Studiorum Università di Bologna,https://cris.unibo.it/,,NA,Institutional,LS01|LS02|LS03|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH03|SH04|SH05|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/4094,NA
Online Research Database In Technology,Technical University of Denmark,http://orbit.dtu.dk/,,NA,Institutional,LS01|LS02|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH04|SH05|SH06,All,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/1202,NA
Explore Bristol Research,University of Bristol,http://research-information.bristol.ac.uk/,,NA,Institutional,LS01|LS02|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH03|SH04|SH05|SH06,All,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,http://www.bristol.ac.uk/red/research-policy/pure/user-guides/ebr-terms/,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/2642,NA
Publikationer från Uppsala Universitet,Uppsala Universitet,http://uu.diva-portal.org/smash/search.jsf,,NA,Institutional,LS01|LS02|LS03|LS04|LS06|LS07|LS08|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH03|SH04|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/361,NA
HAL AMU,Aix Marseille Université,https://hal-amu.archives-ouvertes.fr/,,NA,Institutional,LS01|LS02|LS03|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH02|SH04|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/3430,NA
Caltech Authors,California Institute of Technology,http://authors.library.caltech.edu/,,NA,Institutional,LS01|LS02|LS03|LS05|LS06|LS08|LS09|PE01|PE02|PE03|PE04|PE06|PE07|PE08|PE09|PE10|SH01,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/38,NA
Ghent University Academic Bibliography,Universiteit Gent,https://biblio.ugent.be/,,NA,Institutional,LS01|LS02|LS03|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH02|SH03|SH04|SH05|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/330,NA
HAL-IRD,Institut de Recherche pour le Développement,http://hal.ird.fr/,,NA,Institutional,LS02|LS03|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH02|SH03|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/2191,NA
Research Repository of Catalonia,Consorci de Serveis Universitaris de Catalunya,http://www.recercat.cat/,,NA,NA,LS01|LS02|LS03|LS04|LS05|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH03|SH04|SH05|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/272,NA
Archivio istituzionale della ricerca AIR - Università degli Studi di Milano,Università degli Studi di Milano,https://air.unimi.it,,NA,Institutional,LS01|LS02|LS03|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH02|SH03|SH04|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,https://air.unimi.it/sr/static/Policy_di_AIR.htm,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/1261,NA
