data_source_id,subjects
opendoar____::b994697479c5716eda77e8e9713e5f0f,Multidisciplinary
openaire____::d76e4d42b3bd658259e8bf9c37ef448f,{NULL}
opendoar____::f12f2b34a0c3174269c19e21c07dee68,Multidisciplinary
opendoar____::07c5807d0d927dcd0980f86024e5208b,Multidisciplinary
opendoar____::74563ba21a90da13dacf2a73e3ddefa7,Multidisciplinary
opendoar____::faa453efde4ac6a36849ba381feb9e87,Computers and IT
opendoar____::ae614c557843b1df326cb29c57225459,Multidisciplinary
opendoar____::186a157b2992e7daed3677ce8e9fe40f,Multidisciplinary
opendoar____::7a614fd06c325499f1680b9896beedeb,Multidisciplinary
opendoar____::a22d33b4a00c165507a61f3bed4b5149,Multidisciplinary
opendoar____::030e65da2b1c944090548d36b244b28d,Science General
opendoar____::030e65da2b1c944090548d36b244b28d,Health and Medicine
opendoar____::030e65da2b1c944090548d36b244b28d,Arts and Humanities General
opendoar____::030e65da2b1c944090548d36b244b28d,Philosophy and Religion
opendoar____::030e65da2b1c944090548d36b244b28d,Social Sciences General
opendoar____::030e65da2b1c944090548d36b244b28d,Law and Politics
opendoar____::1cfead9959b76ce44a847c850b61c587,Multidisciplinary
opendoar____::5dec707028b05bcbd3a1db5640f842c5,Computers and IT
opendoar____::5dec707028b05bcbd3a1db5640f842c5,Business and Economics
opendoar____::5dec707028b05bcbd3a1db5640f842c5,Education
opendoar____::5dec707028b05bcbd3a1db5640f842c5,Law and Politics
opendoar____::5dec707028b05bcbd3a1db5640f842c5,Management and Planning
opendoar____::fb2606a5068901da92473666256e6e5b,Multidisciplinary
opendoar____::fe709c654eac84d5239d1a12a4f71877,Multidisciplinary
opendoar____::f095cedd23b99f1696fc8caecbcf257e,Multidisciplinary
opendoar____::d8c24ca8f23c562a5600876ca2a550ce,Multidisciplinary
opendoar____::64c53a52cb3bd1a01c03a64db985c0cc,Multidisciplinary
opendoar____::0233f3bb964cf325a30f8b1c2ed2da93,Multidisciplinary
opendoar____::654ad60ebd1ae29cedc37da04b6b0672,Multidisciplinary
opendoar____::99c5e07b4d5de9d18c350cdf64c5aa3d,Science General
opendoar____::99c5e07b4d5de9d18c350cdf64c5aa3d,Technology General
opendoar____::eecca5b6365d9607ee5a9d336962c534,Multidisciplinary
opendoar____::eecca5b6365d9607ee5a9d336962c534,Biology and Biochemistry
opendoar____::eecca5b6365d9607ee5a9d336962c534,Chemistry and Chemical Technology
opendoar____::eecca5b6365d9607ee5a9d336962c534,Ecology and Environment
opendoar____::eecca5b6365d9607ee5a9d336962c534,Physics and Astronomy
opendoar____::eecca5b6365d9607ee5a9d336962c534,Technology General
opendoar____::eecca5b6365d9607ee5a9d336962c534,Architecture
opendoar____::eecca5b6365d9607ee5a9d336962c534,Civil Engineering
opendoar____::eecca5b6365d9607ee5a9d336962c534,Computers and IT
opendoar____::eecca5b6365d9607ee5a9d336962c534,Mechanical Engineering and Materials
opendoar____::eecca5b6365d9607ee5a9d336962c534,Geography and Regional Studies
re3data_____::51a19e69abb62c7bd37ac677f35869ca,Humanities and Social Sciences
re3data_____::51a19e69abb62c7bd37ac677f35869ca,Jurisprudence
re3data_____::51a19e69abb62c7bd37ac677f35869ca,Social and Behavioural Sciences
opendoar____::8ce5d989374d216a867cdc8871484b43,Law and Politics
opendoar____::147702db07145348245dc5a2f2fe5683,Multidisciplinary
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Biology and Biochemistry
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Ecology and Environment
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Mathematics and Statistics
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Architecture
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Fine and Performing Arts
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Geography and Regional Studies
opendoar____::96da2f590cd7246bbde0051047b0d6f7,History and Archaeology
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Language and Literature
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Philosophy and Religion
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Social Sciences General
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Business and Economics
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Education
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Law and Politics
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Library and Information Science
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Management and Planning
opendoar____::96da2f590cd7246bbde0051047b0d6f7,Psychology
opendoar____::2cad8fa47bbef282badbb8de5374b894,Biology and Biochemistry
opendoar____::2cad8fa47bbef282badbb8de5374b894,Chemistry and Chemical Technology
opendoar____::966b6dfb6b0819cc10644bea3115cf20,Science General
opendoar____::966b6dfb6b0819cc10644bea3115cf20,Technology General
opendoar____::758874998f5bd0c393da094e1967a72b,Multidisciplinary
opendoar____::846c260d715e5b854ffad5f70a516c88,Multidisciplinary
opendoar____::dc727151e5d55dde1e950767cf861ca5,Multidisciplinary
opendoar____::7ec3b3cf674f4f1d23e9d30c89426cce,Multidisciplinary
opendoar____::84f0f20482cde7e5eacaf7364a643d33,Multidisciplinary
opendoar____::17326d10d511828f6b34fa6d751739e2,Multidisciplinary
opendoar____::9fdb62f932adf55af2c0e09e55861964,Multidisciplinary
opendoar____::34173cb38f07f89ddbebc2ac9128303f,Multidisciplinary
opendoar____::99f59c0842e83c808dd1813b48a37c6a,Biology and Biochemistry
opendoar____::99f59c0842e83c808dd1813b48a37c6a,Chemistry and Chemical Technology
opendoar____::99f59c0842e83c808dd1813b48a37c6a,Earth and Planetary Sciences
opendoar____::99f59c0842e83c808dd1813b48a37c6a,Ecology and Environment
opendoar____::99f59c0842e83c808dd1813b48a37c6a,Physics and Astronomy
opendoar____::6917ff2a7b53421ff4066020e2d89eec,Multidisciplinary
opendoar____::fba9d88164f3e2d9109ee770223212a0,Science General
opendoar____::fba9d88164f3e2d9109ee770223212a0,Computers and IT
opendoar____::fba9d88164f3e2d9109ee770223212a0,History and Archaeology
opendoar____::89fcd07f20b6785b92134bd6c1d0fa42,Multidisciplinary
opendoar____::2d2c8394e31101a261abf1784302bf75,Multidisciplinary
opendoar____::53c6de78244e9f528eb3e1cda69699bb,Multidisciplinary
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,Humanities and Social Sciences
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,Life Sciences
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,Natural Sciences
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,Engineering Sciences
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,Social and Behavioural Sciences
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,Economics
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,Biology
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,Medicine
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,"Microbiology, Virology and Immunology"
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,"Agriculture, Forestry, Horticulture and Veterinary Medicine"
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,Chemistry
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,Physics
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,Geosciences (including Geography)
re3data_____::e9ccec69196dfd1b2247ef8f8d2c5919,"Computer Science, Electrical and System Engineering"
opendoar____::9cfdf10e8fc047a44b08ed031e1f0ed1,Multidisciplinary
opendoar____::3210ddbeaa16948a702b6049b8d9a202,Multidisciplinary
opendoar____::f47d0ad31c4c49061b9e505593e3db98,Multidisciplinary
opendoar____::56c51a39a7c77d8084838cc920585bd0,Multidisciplinary
opendoar____::01f78be6f7cad02658508fe4616098a9,Multidisciplinary
opendoar____::01f78be6f7cad02658508fe4616098a9,Arts and Humanities General
opendoar____::01f78be6f7cad02658508fe4616098a9,Philosophy and Religion
opendoar____::01f78be6f7cad02658508fe4616098a9,Social Sciences General
opendoar____::01f78be6f7cad02658508fe4616098a9,Business and Economics
opendoar____::01f78be6f7cad02658508fe4616098a9,Law and Politics
opendoar____::01f78be6f7cad02658508fe4616098a9,Psychology
opendoar____::b1a59b315fc9a3002ce38bbe070ec3f5,Multidisciplinary
opendoar____::a5771bce93e200c36f7cd9dfd0e5deaa,Multidisciplinary
re3data_____::730f562f9efe8a3b3742d2da510d4335,Humanities and Social Sciences
re3data_____::730f562f9efe8a3b3742d2da510d4335,Life Sciences
re3data_____::730f562f9efe8a3b3742d2da510d4335,Natural Sciences
re3data_____::730f562f9efe8a3b3742d2da510d4335,Engineering Sciences
opendoar____::89f0fd5c927d466d6ec9a21b9ac34ffa,Multidisciplinary
opendoar____::87ae6fb631f7c8a627e8e28785d9992d,Multidisciplinary
opendoar____::65b9eea6e1cc6bb9f0cd2a47751a186f,Multidisciplinary
opendoar____::460b491b917d4185ed1f5be97229721a,Multidisciplinary
openaire____::f19d2f12ac82ff06994dd8efb73a2178,{NULL}
opendoar____::5e9f92a01c986bafcabbafd145520b13,Business and Economics
share_______::07ed065a60d03797ff1b02514685a0c0,{NULL}
openaire____::c2e8198ce137dc8d1a11eafa1ab30bbf,{NULL}
driver______::3d9e79b22f9d9463a39c3654b873d76b,{NULL}
opendoar____::ebd9629fc3ae5e9f6611e2ee05a31cef,Multidisciplinary
opendoar____::8e2cfdc275761edc592f73a076197c33,Multidisciplinary
opendoar____::459a4ddcb586f24efd9395aa7662bc7c,Multidisciplinary
opendoar____::566a9968b43628588e76be5a85a0f9e8,Multidisciplinary
re3data_____::7980778c78fb4cf0fab13ce2159030dc,Humanities and Social Sciences
re3data_____::7980778c78fb4cf0fab13ce2159030dc,Life Sciences
