opendoar_uri,oai_url
https://v2.sherpa.ac.uk/id/repository/224,http://lsr.nellco.org/do/oai/
https://v2.sherpa.ac.uk/id/repository/225,https://eprints.ncl.ac.uk/oai
https://v2.sherpa.ac.uk/id/repository/226,http://eprints.nottingham.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/227,http://eprints.nottingham.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/230,https://kb.osu.edu/oai/request
https://v2.sherpa.ac.uk/id/repository/231,https://etd.ohiolink.edu/!etd_search_oai
https://v2.sherpa.ac.uk/id/repository/232,http://www.vliz.be/oma/imis.php
https://v2.sherpa.ac.uk/id/repository/238,http://opus4.kobv.de/opus4-ku-eichstaett/oai
https://v2.sherpa.ac.uk/id/repository/240,https://opus4.kobv.de/opus4-uni-passau/oai
https://v2.sherpa.ac.uk/id/repository/243,https://opus.bsz-bw.de/fhdo/oai
https://v2.sherpa.ac.uk/id/repository/245,http://orgprints.org/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/249,http://padis.uniroma1.it/oai/request
https://v2.sherpa.ac.uk/id/repository/250,http://prr.hec.gov.pk/oai/request
https://v2.sherpa.ac.uk/id/repository/253,https://api.archives-ouvertes.fr/oai/pastel
https://v2.sherpa.ac.uk/id/repository/254,http://eprints.pascal-network.org/perl/oai2
https://v2.sherpa.ac.uk/id/repository/255,http://philsci-archive.pitt.edu/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/258,http://mdh.diva-portal.org/dice/oai
https://v2.sherpa.ac.uk/id/repository/259,http://hj.diva-portal.org/dice/oai
https://v2.sherpa.ac.uk/id/repository/260,http://kth.diva-portal.org/dice/oai
https://v2.sherpa.ac.uk/id/repository/261,http://liu.diva-portal.org/dice/oai
https://v2.sherpa.ac.uk/id/repository/262,http://sh.diva-portal.org/dice/oai
https://v2.sherpa.ac.uk/id/repository/263,http://su.diva-portal.org/dice/oai
https://v2.sherpa.ac.uk/id/repository/264,http://umu.diva-portal.org/dice/oai
https://v2.sherpa.ac.uk/id/repository/265,http://lnu.diva-portal.org/dice/oai
https://v2.sherpa.ac.uk/id/repository/266,http://opus.kobv.de/ubp/oai2/oai2.php/
https://v2.sherpa.ac.uk/id/repository/267,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi
https://v2.sherpa.ac.uk/id/repository/268,https://qspace.library.queensu.ca/oai/request
https://v2.sherpa.ac.uk/id/repository/270,http://eprints.qut.edu.au/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/272,http://oai.recercat.cat/request
https://v2.sherpa.ac.uk/id/repository/273,http://rabci.org/rabci/oai
