officialname,openairecompatibility,opendoar_link
UPCommons - Research Data,"OpenAIRE Data (funded, referenced datasets)",NA
UPCommons. Portal del coneixement obert de la UPC,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3484
UPF Digital Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1610
Uşak Üniversitesi Kurumsal Akademik Arşiv Sistemi,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3224
Usiena air - Università di Siena,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1820
Utrecht University Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/101
UWL Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/2700
VBN,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/1266
Vilnius University Institutional Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4036
"VinaR - Repository of the Vinča Institute of Nuclear Sciences, University of Belgrade","OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4175
VTT Research Information System,"OpenAIRE 3.0 (OA, funding)",NA
Wageningen Staff Publications,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/370
Warwick Research Archives Portal Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1288
Web-based Archive of RIVM Publications,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/881
White Rose Research Online,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/373
Zenodo,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2659
Zenodo,OpenAIRE Basic (DRIVER OA),NA
ZHAW digitalcollection,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3760
Zurich Open Repository and Archive,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/885
Наукова електронна бібліотека періодичних видань НАН України (Vernadsky National Library of Ukraine),OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1456
Национальный агрегатор открытых репозиториев российских университетов (HOPA),"OpenAIRE 3.0 (OA, funding)",NA
