officialname,openairecompatibility,opendoar_link
DI-fusion,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/2101
Digital Access to Scholarship at Harvard,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1586
Digital library (repository) of Tomsk State University,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3810
Digital Library of Slovenia,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3825
Digital Library University of West Bohemia,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/8936
Digital repository of Slovenian research organizations,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3508
Digital Repository of University of Zaragoza,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1413
DIGITAL.CSIC,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1106
DigitalCommons@USU,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1459
Digitale Bibliothek Braunschweig,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/719
Diposit Digital de Documents de la UAB,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/1404
Diposit Digital de la Universitat de Barcelona,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/963
DLR publication server,OpenAIRE PubRepos v4.0,https://v2.sherpa.ac.uk/id/repository/1640
Document Server@UHasselt,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/105
Dokumentenrepositorium der RUB / RUB-Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3579
DRYAD,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1475
DSpace at Open Universiteit Nederland,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/233
DSpace at Tartu University Library,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1018
DSpace at VU,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/369
DSpace@IZTECH,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/2661
DSpace@MIT,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/88
DUGiDocs – Universitat de Girona,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1264
Durham Research Online,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/328
Dutch Institute for Fundamental Energy Research,collected from a compatible aggregator,NA
Duzce Üniversitesi Akademik Arşiv Sistemi,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3147
E-LIB Dokumentserver - Staats und Universitätsbibliothek Bremen,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/139
E-Prints Complutense,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/126
e-Prints Soton,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/348
e-space at Manchester Metropolitan University,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/128
EarthArXiv,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/4385
EASY,"OpenAIRE Data (funded, referenced datasets)",NA
EcoEvoRxiv Preprints,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/4205
EconStor,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/1687
Edinburgh Research Archive,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/463
Edinburgh Research Explorer,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/3094
edoc,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/2459
edoc-Server. Open-Access-Publikationsserver der Humboldt-Universität zu Berlin,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/133
Education and Research Archive,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1875
Ege University Institutional Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/9436
"Eldorado - Ressourcen aus und für Lehre, Studium und Forschung","OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/134
Electronic archive of Tomsk Polytechnic University,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3626
Electronic Publication Information Center,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/999
Elektronisches Publikationsportal der Österreichischen Akademie der Wissenschaften,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/386
ELTE Digital Institutional Repository (EDIT),"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3256
engrXiv,OpenAIRE Basic (DRIVER OA),NA
Enlighten,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/162
ePLUS,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3941
Epsilon Open Archive,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1094
EPub Bayreuth,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2984
ePubWU Institutional Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/777
Erasmus University Institutional Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1113
Erciyes University - AVESIS,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/9447
eResearch@Ozyegin,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1862
Érudit,OpenAIRE PubRepos v4.0,https://v2.sherpa.ac.uk/id/repository/1159
ESC publication,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/3280
eScholarship - University of California,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/325
ETH Zürich Research Collection,"OpenAIRE Data (funded, referenced datasets)",NA
EURECOM Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1093
Europe PubMed Central,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/908
Explore Bristol Research,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/2642
Fachrepositorium Lebenswissenschaften,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3694
"FarFar - Pharmacy Repository, University of Belgrade",OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/4877
figshare,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/2073
FigShare,not available,https://v2.sherpa.ac.uk/id/repository/2073
Flore (Florence Research Repository),"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/310
Forschungsindex und Repositorium der Leuphana Universität Lüneburg,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3697
Fraunhofer-ePrints,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/610
Full-text Institutional Repository of the Ruđer Bošković Institute,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2584
Gazi University Dspace,OpenAIRE 2.0 (EC funding),https://v2.sherpa.ac.uk/id/repository/9464
GenderOpen - Repositorium für die Geschlechterforschung,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4158
Gene Expression Omnibus,not available,NA
GEO-LEO e-docs,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/2497
GFZ German Research Centre for Geosciences,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/156
Ghent University Academic Bibliography,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/330
Giessener Elektronische Bibliothek,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/478
Giresun University Institutional Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/9647
GNOSIS Institutional Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4485
Goldsmiths Research Online,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/758
"GraFar - Repository of the Faculty of Civil Engineering, University of Belgrade","OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4693
GREDOS,OpenAIRE PubRepos v4.0,https://v2.sherpa.ac.uk/id/repository/1472
Greenwich Academic Literature Archive,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1756
GSI Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3449
Hacettepe Üniversitesi Açık Erişim Sistemi,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/4268
HAL - Université de Lille,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4254
HAL - UPEC / UPEM,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4325
HAL AMU,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3430
HAL Clermont Université,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2885
HAL Descartes,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3379
HAL Evry,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/4047
HAL-CEA,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3515
Hal-Diderot,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2592
HAL-ENS-LYON,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3393
HAL-INSA Toulouse,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4074
HAL-Inserm,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1398
HAL-IRD,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2191
HAL-Lyon 3,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3522
HAL-Pasteur,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2100
HAL-Rennes 1,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2755
HAL-UPMC,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2417
HBO Kennisbank,collected from a compatible aggregator,NA
Heidelberger Dokumentenserver,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/482
HELDA - Digital Repository of the University of Helsinki,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1593
Helmholtz Zentrum für Infektionsforschung Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1146
Hereon Publication Database,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2110
Hertie School Research Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3399
Hes-so: ArODES Open Archive (University of Applied Sciences and Arts Western Switzerland,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/8594
HKU Scholars Hub,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/961
Hochschulschriftenserver - Universität Frankfurt am Main,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/603
Horizon / Pleins textes,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/932
HRČAK - Portal of scientific journals of Croatia,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/951
Humanities Commons,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/4340
HVL Open,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4161
Hyper Article en Ligne,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/166
Hyper Article en Ligne - Sciences de l'Homme et de la Société,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/177
HZB Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3680
idUS. Depósito de Investigación Universidad de Sevilla,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3272
IIASA PURE,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/3535
ILL-ESRF publications,"OpenAIRE 3.0 (OA, funding)",NA
Infoscience - EPFL scientific publications,OpenAIRE PubRepos v4.0,https://v2.sherpa.ac.uk/id/repository/185
INRIA a CCSD electronic archive server,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/165
Institutional Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1226
Institutional Repository for Molecular Medicine (MDC),OpenAIRE Basic (DRIVER OA),NA
Institutional Repository of Nature Research Centre,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/9676
Institutional Repository of the National University of Rio Negro,not available,https://v2.sherpa.ac.uk/id/repository/4369
Institutional Repository of the Technical University of Crete (DIAS),"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4037
Institutional repository of Ural Federal University named after the first President of Russia B.N.Yeltsin,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/917
Institutional Repository Universiteit Antwerpen,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2097
Institutionelles Repositorium der Leibniz Universität Hannover,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3531
InTech,OpenAIRE Basic (DRIVER OA),NA
Investigo,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/3690
IRIS - Institutional Research Information System of the University of Trento,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3432
IRIS - Università degli Studi di Catania,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4731
IRIS - Università degli Studi di Verona,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1943
IRIS Catalogo dei prodotti della ricerca scientifica LUISS,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3704
IRIS UNIMORE - Archivio istituzionale della ricerca - Università di Modena e Reggio Emilia,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3674
IRTA Pubpro,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4560
Iskenderun Technical University Institutional Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/4723
