reference_evaluation_panel,label,officialname,data_source_id,oaire_result_type,openairecompatibility,works,works_prop,projects_with_repo_works,projects,projects_prop
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Fachrepositorium Lebenswissenschaften,opendoar____::4b26dc4663ccf960c8538d595d0a1d3a,publication,OpenAIRE Basic (DRIVER OA),3,0.0033407572383073497,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",FigShare,opendoar____::4b86abe48d358ecf194c56c69108433e,publication,not available,2,0.0022271714922048997,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Fraunhofer-ePrints,opendoar____::00ac8ed3b4327bdd4ebbebcb2ba10a00,publication,"OpenAIRE 3.0 (OA, funding)",2,0.0022271714922048997,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Ghent University Academic Bibliography,opendoar____::fe73f687e5bc5280214e0486b273a5f9,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",2,0.0022271714922048997,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",HAL,opendoar____::7e7757b1e12abcb736ab9a754ffb617a,publication,"OpenAIRE 3.0 (OA, funding)",111,0.12360801781737193,45,213,0.2112676056338028
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",HELDA - Digital Repository of the University of Helsinki,opendoar____::06a81a4fb98d149f2d31c68828fa6eb2,publication,"OpenAIRE 3.0 (OA, funding)",20,0.022271714922048998,4,213,0.018779342723004695
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Helmholtz Zentrum für Infektionsforschung Repository,opendoar____::8a3363abe792db2d8761d6403605aeb7,publication,"OpenAIRE 3.0 (OA, funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Hochschulschriftenserver - Universität Frankfurt am Main,opendoar____::d86ea612dec96096c5e0fcc8dd42ab6d,publication,OpenAIRE Basic (DRIVER OA),2,0.0022271714922048997,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",idUS. Depósito de Investigación Universidad de Sevilla,opendoar____::79514e888b8f2acacc68738d0cbb803e,publication,"OpenAIRE 3.0 (OA, funding)",18,0.0200445434298441,3,213,0.014084507042253521
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",ILL-ESRF publications,openaire____::c2e8198ce137dc8d1a11eafa1ab30bbf,publication,"OpenAIRE 3.0 (OA, funding)",13,0.014476614699331848,12,213,0.056338028169014086
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Infoscience - EPFL scientific publications,opendoar____::eecca5b6365d9607ee5a9d336962c534,publication,OpenAIRE PubRepos v4.0,14,0.015590200445434299,11,213,0.051643192488262914
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Institutional Repository for Molecular Medicine (MDC),driver______::3d9e79b22f9d9463a39c3654b873d76b,publication,OpenAIRE Basic (DRIVER OA),5,0.005567928730512249,3,213,0.014084507042253521
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",IRIS - Institutional Research Information System of the University of Trento,opendoar____::72007983849f4fcb0ad565439834756b,publication,"OpenAIRE 3.0 (OA, funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",IRIS - Università degli Studi di Verona,opendoar____::c3395dd46c34fa7fd8d729d8cf88b7a8,publication,"OpenAIRE 3.0 (OA, funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",JAIRO,openaire____::fffd45256148b1de3114788f21179083,publication,OpenAIRE Basic (DRIVER OA),4,0.004454342984409799,4,213,0.018779342723004695
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Juelich Shared Electronic Resources,opendoar____::8a1ee9f2b7abe6e88d1a479ab6a42c5e,publication,"OpenAIRE 3.0 (OA, funding)",11,0.012249443207126948,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Jyväskylä University Digital Archive,opendoar____::3a029f04d76d32e79367c4b3255dda4d,publication,"OpenAIRE 3.0 (OA, funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",King's Research Portal,opendoar____::566a9968b43628588e76be5a85a0f9e8,publication,OpenAIRE Basic (DRIVER OA),1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",KNAW Repository,opendoar____::97275a23ca44226c9964043c8462be96,publication,collected from a compatible aggregator,1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Koç University Suna Kıraç Library’s New Digital Collections Portal,opendoar____::b6e710870acb098e584277457ba89d68,publication,OpenAIRE Basic (DRIVER OA),1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",LAReferencia - Red Federada de Repositorios Institucionales de Publicaciones Científicas Latinoamericanas,opendoar____::dc6e224a8d74ce03bf301152d6e33e97,publication,"OpenAIRE 3.0 (OA, funding)",2,0.0022271714922048997,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Leiden University Repository,opendoar____::854d6fae5ee42911677c739ee1734486,publication,collected from a compatible aggregator,5,0.005567928730512249,4,213,0.018779342723004695
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Lirias,opendoar____::fe709c654eac84d5239d1a12a4f71877,publication,"OpenAIRE 3.0 (OA, funding)",8,0.008908685968819599,4,213,0.018779342723004695
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",MediaTUM,opendoar____::ebd9629fc3ae5e9f6611e2ee05a31cef,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",MPG.PuRe,opendoar____::958adb57686c2fdec5796398de5f317a,publication,"OpenAIRE 3.0 (OA, funding)",98,0.1091314031180401,29,213,0.13615023474178403
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",NARCIS,openaire____::fdb035c8b3e0540a8d9a561a6c44f4de,publication,"OpenAIRE 3.0 (OA, funding)",8,0.008908685968819599,3,213,0.014084507042253521
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Norwegian Open Research Archives,driver______::4dc196be332447baf11e431bd838e81c,publication,OpenAIRE Basic (DRIVER OA),2,0.0022271714922048997,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Online Research @ Cardiff,opendoar____::b53b3a3d6ab90ce0268229151c9bde11,publication,collected from a compatible aggregator,1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Online Research Database In Technology,opendoar____::147702db07145348245dc5a2f2fe5683,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",2,0.0022271714922048997,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Online-Publikations-Server der Universität Würzburg,opendoar____::07c5807d0d927dcd0980f86024e5208b,publication,"OpenAIRE 3.0 (OA, funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Open Access LMU,opendoar____::758874998f5bd0c393da094e1967a72b,publication,"OpenAIRE 3.0 (OA, funding)",8,0.008908685968819599,6,213,0.028169014084507043
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Open Repository and Bibliography - University of Liège,opendoar____::76cf99d3614e23eabab16fb27e944bf9,publication,OpenAIRE PubRepos v4.0,1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Oxford University Research Archive,opendoar____::2290a7385ed77cc5592dc2153229f082,publication,OpenAIRE Basic (DRIVER OA),79,0.08797327394209355,16,213,0.07511737089201878
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics","Permanent Hosting, Archiving and Indexing of Digital Resources and Assets",opendoar____::74563ba21a90da13dacf2a73e3ddefa7,publication,OpenAIRE PubRepos v4.0,1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",ProdInra,opendoar____::b710915795b9e9c02cf10d6d2bdb688c,publication,OpenAIRE Basic (DRIVER OA),1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Publications at Bielefeld University,opendoar____::229754d7799160502a143a72f6789927,publication,OpenAIRE PubRepos v4.0,1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Publikationenserver der Georg-August-Universität Göttingen,opendoar____::ae614c557843b1df326cb29c57225459,publication,"OpenAIRE 3.0 (OA, funding)",3,0.0033407572383073497,3,213,0.014084507042253521
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Publikationer från Umeå universitet,opendoar____::d6baf65e0b240ce177cf70da146c8dc8,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",18,0.0200445434298441,5,213,0.023474178403755867
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Publikationer från Uppsala Universitet,opendoar____::52720e003547c70561bf5e03b95aa99f,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",21,0.02338530066815145,6,213,0.028169014084507043
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Publikationsserver der RWTH Aachen University,opendoar____::df7f28ac89ca37bf1abd2f6c184fe1cf,publication,"OpenAIRE 3.0 (OA, funding)",6,0.0066815144766146995,3,213,0.014084507042253521
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",PURE Aarhus University,openaire____::d76e4d42b3bd658259e8bf9c37ef448f,publication,"OpenAIRE 3.0 (OA, funding)",15,0.01670378619153675,8,213,0.03755868544600939
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Radboud Repository,opendoar____::7bccfde7714a1ebadf06c5f4cea752c1,publication,collected from a compatible aggregator,5,0.005567928730512249,5,213,0.023474178403755867
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Refubium - Repositorium der Freien Universität Berlin,opendoar____::fd1d83de2517a02d4e221ede9a681432,publication,OpenAIRE PubRepos v4.0,2,0.0022271714922048997,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",REPISALUD,opendoar____::373e4c5d8edfa8b74fd4b6791d0cf6dc,publication,"OpenAIRE 3.0 (OA, funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Repositorio Institucional EdocUR,opendoar____::3546ab441e56fa333f8b44b610d95691,publication,OpenAIRE PubRepos v4.0,1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Repository TU/e,opendoar____::99c5e07b4d5de9d18c350cdf64c5aa3d,publication,collected from a compatible aggregator,1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",RERO DOC Digital Library,opendoar____::846c260d715e5b854ffad5f70a516c88,publication,OpenAIRE Basic (DRIVER OA),8,0.008908685968819599,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Research Repository of Catalonia,opendoar____::7a614fd06c325499f1680b9896beedeb,publication,"OpenAIRE 3.0 (OA, funding)",7,0.0077951002227171495,3,213,0.014084507042253521
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",RVC Research Online,opendoar____::8485ae387a981d783f8764e508151cd9,publication,collected from a compatible aggregator,1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Serveur académique lausannois,opendoar____::9fdb62f932adf55af2c0e09e55861964,publication,"OpenAIRE 3.0 (OA, funding)",2,0.0022271714922048997,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Spiral - Imperial College Digital Repository,opendoar____::995e1fda4a2b5f55ef0df50868bf2a8f,publication,OpenAIRE Basic (DRIVER OA),13,0.014476614699331848,11,213,0.051643192488262914
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",SpringerOpen,openaire____::8fc45174756b8d6bb1cfbd82c5e63a4e,publication,collected from a compatible aggregator,2,0.0022271714922048997,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",St George's Online Research Archive,opendoar____::1d94108e907bb8311d8802b48fd54b4a,publication,collected from a compatible aggregator,2,0.0022271714922048997,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Surrey Research Insight,opendoar____::496e05e1aea0a9c4655800e8a7b9ea28,publication,OpenAIRE Basic (DRIVER OA),1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Sussex Research Online,opendoar____::ea159dc9788ffac311592613b7f71fbb,publication,collected from a compatible aggregator,9,0.01002227171492205,4,213,0.018779342723004695
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",The University of Manchester - Institutional Repository,opendoar____::b994697479c5716eda77e8e9713e5f0f,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",7,0.0077951002227171495,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Theses@asb,opendoar____::5dec707028b05bcbd3a1db5640f842c5,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",2,0.0022271714922048997,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",TNO Repository - hosted by TU Delft Library,openaire____::1f35f7c7fa4f731c8c3a2aa5b367e4f0,publication,collected from a compatible aggregator,1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",TU Delft Repository,opendoar____::c9892a989183de32e976c6f04e700201,publication,collected from a compatible aggregator,5,0.005567928730512249,4,213,0.018779342723004695
