reference_evaluation_panel,officialname,oaire_result_type,openairecompatibility,data_source_id,works,projects_with_repo_works,reference_evaluation_panel_title,projects,prop
LS01_REF,MPG.PuRe,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::958adb57686c2fdec5796398de5f317a,98,29,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.13615023474178403
LS01_REF,"NARCIS",publication,"OpenAIRE 3.0 (OA, funding)",openaire____::fdb035c8b3e0540a8d9a561a6c44f4de,8,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
LS01_REF,Norwegian Open Research Archives,publication,OpenAIRE Basic (DRIVER OA),driver______::4dc196be332447baf11e431bd838e81c,2,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Online Research @ Cardiff,publication,collected from a compatible aggregator,opendoar____::b53b3a3d6ab90ce0268229151c9bde11,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Online Research Database In Technology,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",opendoar____::147702db07145348245dc5a2f2fe5683,2,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Online-Publikations-Server der Universität Würzburg,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::07c5807d0d927dcd0980f86024e5208b,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Open Access LMU,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::758874998f5bd0c393da094e1967a72b,8,6,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.028169014084507043
LS01_REF,Open Repository and Bibliography - University of Liège,publication,OpenAIRE PubRepos v4.0,opendoar____::76cf99d3614e23eabab16fb27e944bf9,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Oxford University Research Archive,publication,OpenAIRE Basic (DRIVER OA),opendoar____::2290a7385ed77cc5592dc2153229f082,79,16,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.07511737089201878
LS01_REF,"Permanent Hosting, Archiving and Indexing of Digital Resources and Assets",publication,OpenAIRE PubRepos v4.0,opendoar____::74563ba21a90da13dacf2a73e3ddefa7,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,ProdInra,publication,OpenAIRE Basic (DRIVER OA),opendoar____::b710915795b9e9c02cf10d6d2bdb688c,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Publications at Bielefeld University,publication,OpenAIRE PubRepos v4.0,opendoar____::229754d7799160502a143a72f6789927,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Publikationenserver der Georg-August-Universität Göttingen,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::ae614c557843b1df326cb29c57225459,3,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
LS01_REF,Publikationer från Umeå universitet,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",opendoar____::d6baf65e0b240ce177cf70da146c8dc8,18,5,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.023474178403755867
LS01_REF,Publikationer från Uppsala Universitet,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",opendoar____::52720e003547c70561bf5e03b95aa99f,21,6,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.028169014084507043
LS01_REF,Publikationsserver der RWTH Aachen University,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::df7f28ac89ca37bf1abd2f6c184fe1cf,6,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
LS01_REF,PURE Aarhus University,publication,"OpenAIRE 3.0 (OA, funding)",openaire____::d76e4d42b3bd658259e8bf9c37ef448f,15,8,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.03755868544600939
LS01_REF,Radboud Repository,publication,collected from a compatible aggregator,opendoar____::7bccfde7714a1ebadf06c5f4cea752c1,5,5,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.023474178403755867
LS01_REF,Refubium - Repositorium der Freien Universität Berlin,publication,OpenAIRE PubRepos v4.0,opendoar____::fd1d83de2517a02d4e221ede9a681432,2,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,REPISALUD,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::373e4c5d8edfa8b74fd4b6791d0cf6dc,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Repositorio Institucional EdocUR,publication,OpenAIRE PubRepos v4.0,opendoar____::3546ab441e56fa333f8b44b610d95691,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Repository TU/e,publication,collected from a compatible aggregator,opendoar____::99c5e07b4d5de9d18c350cdf64c5aa3d,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,RERO DOC Digital Library,publication,OpenAIRE Basic (DRIVER OA),opendoar____::846c260d715e5b854ffad5f70a516c88,8,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Research Repository of Catalonia,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::7a614fd06c325499f1680b9896beedeb,7,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
LS01_REF,RVC Research Online,publication,collected from a compatible aggregator,opendoar____::8485ae387a981d783f8764e508151cd9,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Serveur académique lausannois,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::9fdb62f932adf55af2c0e09e55861964,2,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Spiral - Imperial College Digital Repository,publication,OpenAIRE Basic (DRIVER OA),opendoar____::995e1fda4a2b5f55ef0df50868bf2a8f,13,11,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.051643192488262914
LS01_REF,SpringerOpen,publication,collected from a compatible aggregator,openaire____::8fc45174756b8d6bb1cfbd82c5e63a4e,2,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
